URL,Response Code,News Error,Detected,Category,Platform,Last crawled
http://trip.ee/node/taxonomy/term/428,404,,6/4/16,Not found,Desktop,6/4/16
http://trip.ee/node/34555,404,,8/30/13,Not found,Desktop,7/6/16
http://trip.ee/sihtkoht/reisipakkumised,404,,5/17/13,Not found,Desktop,6/12/16
http://trip.ee/content/taani/tallinn-tenerife-1201-kell-1615-m%C3%BC%C3%BCn-100-eur.html,404,,1/24/12,Not found,Desktop,4/22/16
http://trip.ee/admin/build/views/export/view_lendude_soodukad,404,,6/24/16,Not found,Desktop,6/24/16
http://trip.ee/admin/build/views/clone/view_lendude_soodukad,404,,6/24/16,Not found,Desktop,6/24/16
http://trip.ee/node/taxonomy/term/409,404,,6/22/16,Not found,Desktop,6/22/16
http://trip.ee/content/taxonomy/term/4499,404,,10/19/15,Not found,Desktop,5/6/16
http://trip.ee/node/97549,404,,4/22/16,Not found,Desktop,4/22/16
http://trip.ee/node/taxonomy/term/1625,404,,5/5/14,Not found,Desktop,6/6/16
http://trip.ee/user/www.seljametsatall.com,404,,3/12/13,Not found,Desktop,5/7/16
http://trip.ee/category/rubriigid/reisivaluuta,404,,6/14/16,Not found,Desktop,6/22/16
http://trip.ee/content/taxonomy/term/827,404,,3/17/16,Not found,Desktop,5/6/16
http://trip.ee/content/flight/www.airbaltic.com,404,,6/20/16,Not found,Desktop,7/1/16
http://trip.ee/registreeru?destination=%3Cfront%3E,404,,6/23/16,Not found,Desktop,6/23/16
http://trip.ee/node/view/10951,404,,12/20/13,Not found,Desktop,5/31/16
http://trip.ee/node/view/9137,404,,12/20/13,Not found,Desktop,6/1/16
http://trip.ee/taxonomy/term/202,404,,11/24/13,Not found,Desktop,5/20/16
http://trip.ee/category/reisistiilid/kultuurireis,404,,6/14/16,Not found,Desktop,6/20/16
http://trip.ee/node/taxonomy/term/2089,404,,6/7/16,Not found,Desktop,6/24/16
http://trip.ee/node/view/7523,404,,12/20/13,Not found,Desktop,6/25/16
http://trip.ee/node/view/11819,404,,12/20/13,Not found,Desktop,7/9/16
http://trip.ee/category/reisistiilid/h-lega-reis,404,,6/14/16,Not found,Desktop,6/20/16
http://trip.ee/content/forum/www.viamichelin.com,404,,6/21/16,Not found,Desktop,6/21/16
http://trip.ee/content/flight/www.norwegian.com,404,,6/20/16,Not found,Desktop,7/1/16
http://trip.ee/node/34031,404,,12/20/13,Not found,Desktop,7/8/16
http://trip.ee/node/view/5134,404,,12/20/13,Not found,Desktop,6/11/16
http://trip.ee/node/view/4705,404,,12/20/13,Not found,Desktop,5/20/16
http://trip.ee/taxonomy/term/106,404,,10/1/13,Not found,Desktop,4/30/16
http://trip.ee/node/view/4015,404,,12/20/13,Not found,Desktop,5/5/16
http://trip.ee/node/41076,404,,12/13/13,Not found,Desktop,6/19/16
http://trip.ee/node/view/8141,404,,12/20/13,Not found,Desktop,6/30/16
http://trip.ee/taxonomy/term/609,404,,10/27/13,Not found,Desktop,5/12/16
http://trip.ee/sein/term/761,404,,6/19/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/339,404,,6/20/16,Not found,Desktop,6/23/16
http://trip.ee/sein/term/366,404,,6/19/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/803,404,,6/20/16,Not found,Desktop,6/22/16
http://trip.ee/sein/term/411,404,,6/15/16,Not found,Desktop,6/20/16
http://trip.ee/sein/term/376,404,,6/19/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/384,404,,6/19/16,Not found,Desktop,6/24/16
http://trip.ee/sein/term/794,404,,6/18/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/409,404,,6/18/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/416,404,,6/19/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/325,404,,6/19/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/2518,404,,6/18/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/338,404,,6/18/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/401,404,,6/16/16,Not found,Desktop,6/20/16
http://trip.ee/sein/term/626,404,,6/13/16,Not found,Desktop,6/20/16
http://trip.ee/sein/term/380,404,,6/18/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/349,404,,6/18/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/471,404,,6/18/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/856,404,,6/20/16,Not found,Desktop,6/24/16
http://trip.ee/sein/term/367,404,,6/17/16,Not found,Desktop,6/20/16
http://trip.ee/sein/term/357,404,,6/18/16,Not found,Desktop,6/21/16
http://trip.ee/sein/term/390,404,,6/16/16,Not found,Desktop,6/19/16
http://trip.ee/taxonomy/term/226,404,,10/15/13,Not found,Desktop,5/31/16
